Packet Type,Malware Indicators,Alerts/Warnings,Attack Type,Attack Signature,Severity Level,Proxy Information,Firewall Logs,IDS/IPS Alerts,Traffic Type_DNS,Traffic Type_FTP,Traffic Type_HTTP,Protocol_ICMP,Protocol_TCP,Protocol_UDP,Log Source_Firewall,Log Source_Server,Network Segment_Segment A,Network Segment_Segment B,Network Segment_Segment C,Action Taken_Blocked,Action Taken_Ignored,Action Taken_Logged,Anomaly Scores_Scaled,Packet_Length_Scaled,Destination_Port_Category,Source_Port_Category,year,month,dayofweek,hour,OS_name,Os_Version_Security
0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0.2867,0.30571030640668523,1,1,3,5,1,6,Windows,6.2
0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0.515,0.7729805013927576,1,1,0,8,2,7,Windows,6.0
1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0.8742000000000001,0.16852367688022285,0,1,2,11,6,8,Windows,6.2
0,0,1,0,1,2,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0.15789999999999998,0.22353760445682452,1,1,3,7,6,10,Macintosh,10.11
0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0.005200000000000001,0.9735376044568245,1,1,3,7,6,13,Windows,6.2
0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0.0576,0.9463788300835655,0,1,2,10,4,13,Linux,1.0
0,0,0,1,1,3,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0.3155,0.21935933147632314,1,1,2,5,0,17,Linux,1.0
0,1,1,2,0,3,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0.5405,0.6671309192200557,1,1,3,2,6,7,Macintosh,10.7
1,1,1,2,0,3,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0.5634,0.8474930362116991,1,0,3,6,1,11,Macintosh,10.5
0,0,1,0,1,2,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0.16510000000000002,0.11142061281337048,0,1,1,8,6,22,Windows,6.0
0,0,1,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0.24910000000000002,0.4157381615598886,1,1,2,7,2,13,iPod,4.3
1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0.8606999999999999,0.1511142061281337,1,1,2,6,6,15,Linux,1.0
1,0,1,2,0,2,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.742,0.0,1,0,0,9,2,21,Windows,6.0
0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.6214000000000001,0.8892757660167131,1,1,1,1,2,2,Windows,10.0
0,0,1,0,1,3,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0.7265,0.591225626740947,1,1,3,2,2,13,Linux,1.0
0,0,1,2,1,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0.9156000000000001,0.25139275766016717,1,1,3,9,4,20,Linux,1.0
1,0,1,1,1,3,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0.43829999999999997,0.5389972144846796,1,1,3,4,1,16,Windows,6.1
0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0.4046,0.6302228412256268,0,1,3,2,1,7,Linux,1.0
1,0,1,1,1,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0.4475,0.04178272980501393,1,1,0,12,1,2,Windows,10.0
0,1,0,1,1,3,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0.1319,0.2764623955431755,1,0,0,7,0,0,iPhone,12.4
1,0,1,0,1,2,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0.8998999999999999,0.5438718662952646,1,1,1,7,4,20,Macintosh,10.11
1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0.8691,0.24094707520891367,1,1,2,4,4,14,Windows,5.01
0,0,0,1,0,3,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0.7225,0.9477715877437326,1,1,3,2,4,6,Windows,1.0
0,1,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0.9627,0.03760445682451253,1,1,3,9,4,15,Windows,5.0
1,1,0,1,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0.6743000000000001,0.9206128133704735,1,1,3,10,4,6,Windows,5.1
1,0,1,2,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0.8986000000000001,0.25696378830083566,1,1,3,10,4,2,Windows,2.0
1,0,0,0,0,3,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0.8723000000000001,0.3252089136490251,1,1,1,1,6,3,Windows,5.1
1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0.444,0.15181058495821728,1,0,0,8,4,9,Windows,6.0
1,1,0,2,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0.45420000000000005,0.9909470752089136,1,0,1,5,5,15,Linux,1.0
1,1,0,2,1,2,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0.257,0.3474930362116992,1,1,2,5,0,18,Linux,1.0
1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0.6920000000000001,0.8697771587743732,0,0,2,8,1,19,iPad,3.1
1,0,1,1,0,2,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0.7706000000000001,0.19916434540389974,0,1,3,1,1,12,Windows,5.0
0,1,1,0,0,2,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0.038700000000000005,0.21518105849582175,1,1,0,10,3,19,Linux,1.0
1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0.2593,0.7597493036211699,1,1,1,6,2,18,Macintosh,10.12
0,1,1,1,1,3,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0.6057,0.31824512534818944,1,1,0,7,2,8,iPhone,7.1
0,1,0,2,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0.6773,0.892757660167131,1,1,3,9,5,19,Android,7.1
1,1,0,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0.7515999999999999,0.8683844011142061,1,1,2,5,6,3,iPhone,5.1
1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0.7545999999999999,0.036908077994428974,1,1,2,6,5,20,Android,1.0
1,0,1,0,1,2,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0.4903,0.8405292479108635,1,1,2,12,3,23,Windows,6.0
1,0,1,2,0,2,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0.8528,0.16991643454039,1,1,3,3,1,7,iPhone,4.2
0,0,0,1,1,2,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0.0644,0.334958217270195,0,0,1,2,5,16,iPod,3.0
1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0.2217,0.35376044568245124,1,1,1,5,6,16,Windows,0.0
1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0.29660000000000003,0.9818941504178273,1,1,2,12,3,8,Android,4.4
0,1,1,2,0,3,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0.1075,0.9045961002785515,1,0,2,7,3,20,Windows,5.0
0,0,1,0,1,3,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0.4214,0.2639275766016713,1,1,3,6,4,5,Macintosh,10.12
0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0.7773000000000001,0.66991643454039,1,0,0,4,4,18,Linux,1.0
1,1,1,0,1,3,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0.9782,0.3412256267409471,1,1,3,5,1,13,iPod,3.3
0,1,1,2,0,3,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0.8336,0.4073816155988858,1,1,0,10,3,4,Linux,1.0
1,1,0,0,0,2,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0.4071,0.9150417827298051,0,1,1,8,4,14,Windows,10.0
0,0,1,1,1,3,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0.013300000000000001,0.029944289693593314,1,0,1,5,5,4,Windows,6.2
0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0.5692,0.17618384401114207,1,1,3,1,2,1,Windows,2.0
0,1,0,1,1,3,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0.009000000000000001,0.5647632311977716,1,0,1,4,4,12,Windows,5.01
0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0.777,0.3565459610027855,1,1,2,4,3,14,Linux,1.0
0,1,1,2,1,3,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.6756000000000001,0.3864902506963788,1,1,3,2,0,6,Windows,6.0
0,1,1,0,0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.9181999999999999,0.807799442896936,0,1,0,12,6,2,Linux,1.0
0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0.5013000000000001,0.3955431754874652,1,1,2,8,5,7,Windows,6.1
1,0,0,2,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0.4153,0.4220055710306407,1,1,2,5,0,4,Macintosh,10.6
